Storm ID,Event Start Date,Event End Date,Duration (hours),precip,OUT Glycol gallons,OUT Glycol kg,CG Glycol gallons,CG Glycol kg
S25,12-16-2000,12-16-2000,4:35,Freezing mist,1834,7219,190,748
S26,01-14-2001,01-14-2001,9:55,Freezing rain,1964,7733,44,173
S27,01-29-2001,01-29-2001,7:10,Freezing rain,3369,13263,0,0
S28,02-24-2001,02-24-2001,6:25,Freezing rain,6121,24098,92,360
S29,03-20-2001,03-25-2001,112:40,Snowmelt,482,1898,0,0
S30,10-24-2001,10-24-2001,1:33,Thunderstorm,0,0,0,0
S31,01-14-2002,01-14-2002,5:50,Rain/snowfall,569,2242,40,157
S32,01-16-2002,01-17-2002,14:40,Wet snowfall,5273,20758,1199,4719
S33,01-31-2002,02-01-2002,31:20,Snow/mist ,13359,52591,1358,5345
S34,02-21-2002,02-21-2002,7:30,Wet snowfall,3189,12553,506,1991
S35,03-01-2002,03-02-2002,25:40,Snowfall/Lt. rain,9380,36929,374,1472
S36,10-02-2002,10-02-2002,8:15,Thunderstorm,0,0,0,0
S37,01-31-2003,01-31-2003,9:35,Freezing mist,2474,9741,112,443
S38,03-04-2003,03-08-2003,91:35,Snow & snowmelt,15661,61654,1684,6630
S39,03-14-2003,03-16-2003,53:30,Snowmelt,629,2475,26,104
S40,04-04-2003,04-05-2003,9:20,Freezing rain,5127,20185,627,2470
S41,01-04-2004,01-05-2004,12:00,Snowfall,6014,23677,0,0
S42,01-17-2004,01-18-2004,23:20,Light rain/snow,7018,27628,911,3588
S43,02-19-2004,02-22-2004,62:05,Snowmelt/Rain,3995,15726,440,1733
S44,01-01-2005,01-02-2005,7:10,Freezing Rain,957,3767,0,0
S45,01-03-2005,01-04-2005,10:35,Fr. Rain/Snow,5133,20207,1656,6519
S46,01-04-2005,01-06-2005,35:25,Snowfall,14038,55266,,
S47,01-11-2005,01-13-2005,33:25,Snowmelt/Rain,1813,7137,0,0
S48,02-19-2005,02-21-2005,24:35,Snow/Rain,14304,56312,544,2140
S49,03-17-2005,03-18-2005,18:25,Snow/mist,4877,19199,1490,5866
S50,03-18-2005,03-19-2005,32:20,Snowmelt/Rain,216,849,0,0
S51,01-20-2006,01-21-2006,13:15,Snowfall,7072,27841,1426,5615
S52,02-11-2006,02-11-2006,5:55,Snowfall,1824,7180,,
S53,02-16-2006,02-16-2006,12:17,"S, R, FR, D, I",,,2597,10226
S54,03-05-2006,03-06-2006,21:10,Snowfall,9357,36835,1838,7236
S55,03-07-2006,03-09-2006,44:00,melt and some rain,418,1646,91,357
S56,12-01-2006,12-01-2006,18:10,Snowfall,8178,32197,925,3642
S57,01-14-2007,01-15-2007,15:15,lt snow,7754,30525,630,2478
S58,01-21-2007,01-22-2007,22:15,"snow, FD",9392,36975,261,1029
S59,02-23-2007,02-26-2007,58:30,"snow, FR, R",11814,46510,38,151
S60,03-01-2007,03-02-2007,25:30,melt with snow and rain,8186,32227,790,3109
S61,04-11-2007,04-12-2007,17:45,"snow, rain",5504,21669,556,2189
S62,09-25-2007,09-26-2007,11:40,Rain,0,0,0,0
S63,12-01-2007,12-03-2007,40:30,"snow, FR",2400,9447,14,55
S64,12-11-2007,12-12-2007,22:10,"FR, S, I, R",10973,43199,3950,15549
S65,01-05-2008,01-09-2008,82:10,melt with rain,153,604,297,1168
S66,02-17-2008,02-17-2008,12:10,"FR, rain",2095,8249,132,521
S67,03-21-2008,03-22-2008,28:24,Snowfall,,,308,1213
S68,03-25-2008,03-25-2008,15:45,melt with rain and snow,650,2559,11,42
S69,06-29-2008,06-29-2008,6:20,Rain,,,0,0
S70,10-05-2008,10-05-2008,2:58,Rain,,,0,0
S71,11-30-2008,12-01-2008,20:45,Snowfall,9396,36992,1089,4287
S72,12-08-2008,12-09-2008,26:40,"snow, some lt FR and rain",11216,44155,3901,15357
S73,01-09-2009,01-09-2009,10:15,Snowfall,8124,31985,1254,4938
S74,02-27-2009,02-27-2009,8:25,"FR, then snow",4609,18145,328,1292
S75,03-28-2009,03-29-2009,22:25,"snow, fFR",8186,32227,na,na
S76,04-21-2009,04-21-2009,5:35,"rain, some snow",na,na,na,na
S77,07-15-2009,07-15-2009,7:50,Rain,0,0,0,0
S78,12-08-2009,12-09-2009,20:23,"snow, rain",na,na,2123,8358
S79,01-23-2010,01-25-2010,35:25,melt with some rain,55,218,55,218
S80,02-09-2010,02-10-2010,31:00,Snowfall,12922,50873,na,na
S81,03-09-2010,03-11-2010,36:10,melt with rain,53,208,4,17
S82,04-08-2010,04-08-2010,7:25,"rain, turning to snow",na,na,na,na
S83,09-01-2010,09-01-2010,1:05,,0,0,0,0
S84,10-26-2010,10-26-2010,5:30,,0,0,0,0
S85,12-20-2010,12-21-2010,19:05,,,,,
S86,01-31-2011,02-02-2011,51:45,,,,,
S87,02-20-2011,02-22-2011,47:25,,,,,
S88,04-19-2011,04-20-2011,14:05,,,,,
S89,08-30-2011,08-31-2011,10:35,,,,,
S90,12-20-2011,12-21-2011,13:55,,,,,
S91,01-12-2012,01-13-2012,22:20,,,,,
S92,01-17-2012,01-17-2012,9:40,,,,,
S93,01-22-2012,01-24-2012,41:30,,,,,
S94,03-02-2012,03-04-2012,39:30,,,,,
S95,07-18-2012,07-19-2012,6:15,,,,,
S96,12-20-2012,12-21-2012,18:20,,,,,
S97,01-12-2013,01-13-2013,12:05,,,,,
S98,01-27-2013,01-28-2013,17:10,,,,,
S99,01-30-2013,01-30-2013,9:55,,,,,
S100,02-07-2013,02-08-2013,25:10,,,,,
S101,03-09-2013,03-11-2013,44:35,,,,,
S102,04-14-2013,04-14-2013,5:25,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1Events 14 and 15 were during the same snowmelt period that lasted from 3/10/99 to 3/17/99,,,,,,,,
2Events 20 and 21 were during the same snowmelt period that lasted from 2/22/00 to 2/27/00 with some periods of rainfall,,,,,,,,
"3Due to equipment malfunction, only a portion of the event was sampled",,,,,,,,
4Does not include data from the cargo ramp,,,,,,,,
"5Estimated value based on COD samples before, during, and after event.",,,,,,,,
6Does not include data from the terminal ramp,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,duration (hr),pure glycol applied at outfall7 (gal),,,,
OUT-S51,1/20/2006 16:25,1/21/2006 5:40,13:15:00,3725,,,,
OUT-S52,2/11/2006 17:05,2/11/2006 23:00,5:55:00,554,,,,
OUT-S54,3/5/2006 15:55,3/6/2006 13:05,21:10:00,5538,,,,
OUT-S55,3/7/2006 13:25,3/9/2006 9:25,44:00:00,790,,,,
OUT-S56,12/1/2006 3:30,12/1/2006 21:40,18:10:00,7217,,,,
OUT-S57,1/14/2007 21:10,1/15/2007 12:25,15:15:00,5574,,,,
OUT-S58,1/21/2007 8:20,1/22/2007 6:35,22:15:00,6141,,,,
OUT-S59,2/23/2007 23:40,2/26/2007 10:10,58:30:00,11337,,,,
OUT-S60,3/1/2007 7:10,3/2/2007 8:40,25:30:00,6699,,,,
OUT-S61,4/11/2007 12:30,4/12/2007 6:15,17:45:00,3654,,,,
OUT-S62,9/25/2007 16:45,9/26/2007 4:25,,,,,,
OUT-S63,12/1/2007 13:05,12/3/2007 5:35,,,,,,
OUT-S64,12/11/2007 6:20,12/12/2007 4:30,,,,,,
OUT-S65,1/5/2008 17:45,1/9/2008 3:55,,,,,,
OUT-S66,2/17/2008 3:25,2/17/2008 15:35,,,,,,
OUT-S68ab,3/25/2008 6:45,3/25/2008 22:30,,,,,,
OUT-S68c,3/25/2008 23:45,3/26/2008 17:35,,,,,,
OUT-S68d,3/26/2008 19:55,3/27/2008 5:35,,,,,,
OUT-S71,11/30/2008 15:25,12/1/2008 12:10,,,,,,
OUT-S72ac,12/8/2008 15:45,12/9/2008 18:25,,,,,,
OUT-S72d,12/9/2008 19:35,12/10/2008 8:00,,,,,,
OUT-S73,1/9/2009 6:10,1/9/2009 16:25,,,,,,
OUT-S74,2/27/2009 6:20,2/27/2009 14:45,,,,,,
OUT-S75,3/28/2009 19:00,3/29/2009 17:25,,,,,,
OUT-S76,4/21/2009 7:20,4/21/2009 12:55,,,,,,
OUT-S77,7/15/2009 4:40,7/15/2009 12:30,,,,,,
OUT-S78,12/8/2009 9:00,12/9/2009 5:23,,,,,,
OUT-S79,1/23/2010 14:40,1/25/2010 2:05,,,,,,
OUT-S80,2/9/2010 4:05,2/10/2010 11:05,,,,,,
OUT-S81,3/9/2010 16:20,3/11/2010 4:30,,,,,,
OUT-S82,4/8/2010 5:20,4/8/2010 12:45,,,,,,
OUT-S83,9/1/2010 3:30,9/1/2010 4:35,,,,,,
OUT-S84,10/26/2010 7:00,10/26/2010 12:30,,,,,,
OUT-S85,12/20/2010 17:50,12/21/2010 12:55,,,,,,
OUT-S86,1/31/2011 9:35,2/2/2011 13:20,,,,,,
OUT-S87,2/20/2011 9:45,2/22/2011 9:10,,,,,,
OUT-S88,4/19/2011 18:45,4/20/2011 8:50,,,,,,
OUT-S89,8/30/2011 23:40,8/31/2011 10:15,,,,,,
OUT-S90,12/20/2011 17:40,12/21/2011 7:35,,,,,,
OUT-S91,1/12/2012 11:25,1/13/2012 9:45,,,,,,
OUT-S92,1/17/2012 6:30,1/17/2012 16:10,,,,,,
OUT-S93,1/22/2012 16:25,1/24/2012 9:55,,,,,,
OUT-S94,3/2/2012 15:10,3/4/2012 6:40,,,,,,
OUT-S95,7/18/2012 20:50,7/19/2012 3:05,,,,,,
OUT-S96,12/20/2012 16:50,12/21/2012 11:10,,,,,,
OUT-S97,1/12/2013 22:45,1/13/2013 10:50,,,,,,
OUT-S98,1/27/2013 12:30,1/28/2013 5:40,,,,,,
OUT-S99,1/30/2013 11:20,1/30/2013 21:15,,,,,,
OUT-S100,2/7/2013 7:35,2/8/2013 8:45,,,,,,
OUT-S101,3/9/2013 9:40,3/11/2013 6:15,,,,,,
OUT-S102,4/14/2013 6:45,4/14/2013 12:10,,,,,,
